wallet_address,twitter_handle,twitter_name,wallet_type,tier,pnl_7d,winrate_7d,followers,tags
7moqFjvm2MwAiMtCZoqYoTAPzRBxxMRT2ddyHThQuWjr,,"",whale,pro,18424.53,68.1%,795,"axiom, launchpad_smart"
DC99qH3jXiq5pPWQd6PjjJcCxTV593s58CLPxWGpEywt,,"",whale,pro,18124.23,88.0%,467,"axiom, launchpad_smart"
43C9gHfJ7YgqKv5ft3hodFgumydv1nEiNHD1PuANufk5,,"",whale,pro,17779.71,62.5%,88,"launchpad_smart"
GUgMNi2tJcjYpDSFs2VZQpjryeWRG4Xgmi1JPDEoe1TH,,"",whale,pro,17483.08,58.5%,264,"launchpad_smart"
EQSHYFrweAc9C35v25r3m43xmUanfPfZQBAj9kPMmiQS,,"",whale,pro,17262.33,40.6%,15,"launchpad_smart"
9gxgKRGJGEtYeHKRSp3yjFRNvn8SdfTifMSPQ257SVLn,,"",whale,pro,17062.93,54.2%,244,"launchpad_smart"
FAicXNV5FVqtfbpn4Zccs71XcfGeyxBSGbqLDyDJZjke,radiancebrr,"radiance",kol,pro,16985.38,46.2%,12633,"axiom, kol, launchpad_smart, padre, top_followed, top_renamed"
6ZJxMj4oDD3e9u7XhrwmFkye8uLwajDMmodQGDNoDR3m,,"",smart_money,pro,16681.12,58.3%,17,"smart_degen"
EASLbnVEvbzCggCfyqXQ9MuD5iD3UiuLcHQdig8EvRis,,"",fresh_wallet,pro,16273.27,78.2%,6,"fresh_wallet"
8Ltv5royXzxVG3tAhVhRnfXrzapS5Dwqt1ocxprgu6YP,,"",whale,pro,16232.66,40.1%,426,"axiom, launchpad_smart, padre"
Xh2Y84WN8t3ZEKbwkDRT1ap5thJUAf3Ndv44wbbEXxX,,"",smart_money,pro,15768.65,56.0%,622,"axiom, padre, smart_degen"
A8njdQn1aRrrAeFnwaRRYAwKUkRr5CWkG3RqCyZUpmDt,,"",smart_money,pro,14676.85,46.7%,107,"gmgn, smart_degen"
5dd3zjBQQvQqtmWF67nR6XaRKe79cYu4fP6LFXZ1YRR9,,"",smart_money,pro,14268.80,50.8%,570,"padre, photon, smart_degen"
GMwXfLtKhgtWdLqq29pF4JbUUQA6asUeEaXtjQSB7gpN,,"",whale,pro,13945.21,46.0%,164,"axiom, launchpad_smart"
HUg1XNBfdJbFDLEaMBmc2VWf6SCrBkFe11E83ktXXz3f,,"",smart_money,pro,13837.35,34.5%,287,"axiom, smart_degen"
95SKdgFtw9AGt7N9TAWFKkVm8b2hpnheKyfGm8Fha8x4,,"",smart_money,pro,13692.28,73.7%,33,"smart_degen"
9F9d3cL1oBXunNwS3vZKboeuPttJ9hcnVaTEKZPD64Se,,"",whale,pro,13598.48,67.7%,13,"launchpad_smart, padre"
E3ByvZD36sPVQQVDEGZ4uS5pFh6FzLCQc7YZLmWM5pnN,,"",whale,pro,13412.66,56.6%,338,"axiom, launchpad_smart, padre"
4uMvaJyz5hzeF1VYgNX2EeLLdYWpk4mQxU9cnTS8sHxK,,"",smart_money,pro,12889.11,29.5%,95,"padre, smart_degen"
6EDaVsS6enYgJ81tmhEkiKFcb4HuzPUVFZeom6PHUqN3,feibo03,"Cowboy🔶BNB",kol,pro,12477.39,75.6%,14683,"app_smart_money, axiom, bullx, gmgn, kol, launchpad_smart, top_followed, top_renamed"
Ef5V791gyNVznWjorST6wHDQVrDKGhKKVfrRQ1ohZEjm,,"",whale,pro,12473.91,46.6%,20,"launchpad_smart"
CaisERf36rW5abT9ZotN82D3W7N8CETkfjiVo1joTE4j,,"",whale,pro,12297.44,37.5%,398,"launchpad_smart"
7EmUSAXbyXoGpqLPpurkQ97S4ovMdkbjyYPrKtJHtkqa,,"",whale,pro,12192.75,38.2%,539,"axiom, launchpad_smart, padre"
4CACkyfE7TDHFLRevxc4uTyE6xbmZYxCWAvBcSFQCwfG,,"",whale,pro,12097.38,78.8%,96,"axiom, launchpad_smart"
GmmVt4Xac82u2hbhFacQpZEG2prjiVbgLSshdKS9p5Ye,,"",whale,pro,11729.26,39.3%,104,"launchpad_smart"
Nsgx8SAf9jSmwqewSttpXbEKAHSPZPae2gFLfj6Yu44,,"",smart_money,pro,11651.27,45.0%,166,"axiom, smart_degen"
FQnELBjz8eCCAeLZYrH72Q8BEr946mF721hgs2SMb6NL,,"",whale,pro,11547.29,40.1%,14,"launchpad_smart"
7RHyeNJDks7BgRV1mSvdtcqVKYow8NZTUqvjCmZA1AjS,,"",whale,pro,11316.80,50.0%,59,"launchpad_smart, padre"
7DqJaVbnqiDjbGb3kr3kT7YXaWqDSukPC9pmVz5TdiKM,,"",whale,pro,11284.65,42.5%,279,"launchpad_smart, padre"
CvH3ib7oaTFEa1ZkgSBSkEZGdL23ZUZwuonaNASumknZ,,"",fresh_wallet,pro,11161.05,60.7%,7,"fresh_wallet"
ACUqQFHiuyobxeJUW6dvppZyfqkce2EJLhVu9Zf2iL1E,,"",whale,pro,10914.56,33.9%,36,"axiom, launchpad_smart, padre"
TZkcwgk6WrXeU8Zj5uthAuqbmyW6Zmkwfi9XVVWMz4y,,"",smart_money,pro,10867.01,51.7%,223,"axiom, smart_degen"
BBvCUAvUJgpdPub1PqGzeXSBxuj99zgGnfoEJq9k6bsM,,"",whale,pro,10775.60,36.2%,116,"axiom, launchpad_smart, padre"
DPNPVvoGdwNBY849ryx2JZzakWuWbDTfSUYr8aNfKLwA,,"",whale,pro,10412.27,57.0%,300,"axiom, launchpad_smart"
AKy8XbgxizDq9AaAYzvwBkeo2pkU8h8NsFWoUx9kjguh,,"",whale,pro,10110.99,42.9%,131,"launchpad_smart, padre"
2XpNefmGP6AhQ1tkWzxLjFAygzpTjuWNkDL51EyAETDH,,"",whale,pro,9979.66,48.2%,23,"launchpad_smart"
9be8w7td3fXqJfgH5K8uvyeGTd3tWFZqF11u8kJCGQ4p,,"",whale,pro,9915.53,85.2%,183,"launchpad_smart"
